"TOA5","S6100","CR1000","E11654","CR1000.Std.31.02","CPU:S6102_ZB_P1.CR1","16643","druksonde_ZB_P1"
"TIMESTAMP","RECORD","Druk_Avg(1)","Druk_Avg(2)"
"TS","RN","",""
"","","Avg","Avg"
"2019-01-05 01:00:00",395,"NAN",0
"2019-01-05 02:00:00",396,"NAN",0
"2019-01-05 03:00:00",397,"NAN",0
"2019-01-05 04:00:00",398,"NAN",0
"2019-01-05 05:00:00",399,"NAN",0
"2019-01-05 06:00:00",400,"NAN",0
"2019-01-05 07:00:00",401,"NAN",0
"2019-01-05 08:00:00",402,"NAN",0
"2019-01-05 09:00:00",403,"NAN",0
"2019-01-05 10:00:00",404,"NAN",0
"2019-01-05 11:00:00",405,"NAN",0
"2019-01-05 12:00:00",406,"NAN",0
"2019-01-05 13:00:00",407,"NAN",0
"2019-01-05 14:00:00",408,"NAN",0
"2019-01-05 15:00:00",409,"NAN",0
"2019-01-05 16:00:00",410,"NAN",0
"2019-01-05 17:00:00",411,"NAN",0
"2019-01-05 18:00:00",412,"NAN",0
"2019-01-05 19:00:00",413,"NAN",0
"2019-01-05 20:00:00",414,"NAN",0
"2019-01-05 21:00:00",415,"NAN",0
"2019-01-05 22:00:00",416,"NAN",0
"2019-01-05 23:00:00",417,"NAN",0
"2019-01-06 00:00:00",418,"NAN",0
"2019-01-06 01:00:00",419,"NAN",0
"2019-01-06 02:00:00",420,"NAN",0
"2019-01-06 03:00:00",421,"NAN",0
"2019-01-06 04:00:00",422,"NAN",0
"2019-01-06 05:00:00",423,"NAN",0
"2019-01-06 06:00:00",424,"NAN",0
"2019-01-06 07:00:00",425,"NAN",0
"2019-01-06 08:00:00",426,"NAN",0
"2019-01-06 09:00:00",427,"NAN",0
"2019-01-06 10:00:00",428,"NAN",0
"2019-01-06 11:00:00",429,"NAN",0
"2019-01-06 12:00:00",430,"NAN",0
"2019-01-06 13:00:00",431,"NAN",0
"2019-01-06 14:00:00",432,"NAN",0
"2019-01-06 15:00:00",433,"NAN",0
"2019-01-06 16:00:00",434,"NAN",0
"2019-01-06 17:00:00",435,"NAN",0
"2019-01-06 18:00:00",436,"NAN",0
"2019-01-06 19:00:00",437,"NAN",0
"2019-01-06 20:00:00",438,"NAN",0
"2019-01-06 21:00:00",439,"NAN",0
"2019-01-06 22:00:00",440,"NAN",0
"2019-01-06 23:00:00",441,"NAN",0
"2019-01-07 00:00:00",442,"NAN",0
"2019-01-07 01:00:00",443,"NAN",0
"2019-01-07 02:00:00",444,"NAN",0
"2019-01-07 03:00:00",445,"NAN",0
"2019-01-07 04:00:00",446,"NAN",0
"2019-01-07 05:00:00",447,"NAN",0
"2019-01-07 06:00:00",448,"NAN",0
"2019-01-07 07:00:00",449,"NAN",0
"2019-01-07 08:00:00",450,"NAN",0
"2019-01-07 09:00:00",451,"NAN",0
"2019-01-07 10:00:00",452,"NAN",0
"2019-01-07 11:00:00",453,"NAN",0
